,date_valid,date_xp,expe,level,ech,biais_obs,eqm,Nb_bouees_tot,Nb_bouees_an,diff_Nb
0,,,,,,,,,,
1,24/09/22 00:00,24/09/22 00:00,GOJQ,-0.494025,0,0.04550705759102762,0.5469731814972041,2256,397,1859
2,24/09/22 06:00,24/09/22 00:00,GOJQ,-0.494025,6,0.08884529065610271,0.6026060880746504,2044,390,1654
3,24/09/22 12:00,24/09/22 00:00,GOJQ,-0.494025,12,0.06571293635820155,0.6383877946970967,2339,390,1949
4,24/09/22 18:00,24/09/22 00:00,GOJQ,-0.494025,18,0.0792382626069738,0.635310948132157,2336,391,1945
5,25/09/22 00:00,24/09/22 00:00,GOJQ,-0.494025,24,0.0799041864584186,0.6740898871385339,2248,392,1856
6,25/09/22 06:00,24/09/22 00:00,GOJQ,-0.494025,30,0.04472986103540113,0.6931713790240771,2038,394,1644
7,25/09/22 12:00,24/09/22 00:00,GOJQ,-0.494025,36,0.04866275056423084,0.7120154831372262,2324,390,1934
8,25/09/22 18:00,24/09/22 00:00,GOJQ,-0.494025,42,0.04200009426292612,0.7047047307012176,2332,392,1940
9,26/09/22 00:00,24/09/22 00:00,GOJQ,-0.494025,48,0.03668031812365741,0.6873374624396984,2201,389,1812
10,26/09/22 06:00,24/09/22 00:00,GOJQ,-0.494025,54,0.0332097150452206,0.6756640985546694,2029,388,1641
11,26/09/22 12:00,24/09/22 00:00,GOJQ,-0.494025,60,0.02341722848103935,0.6785995414523525,2332,387,1945
12,26/09/22 18:00,24/09/22 00:00,GOJQ,-0.494025,66,0.02647092496339645,0.6794453903758113,2327,390,1937
13,27/09/22 00:00,24/09/22 00:00,GOJQ,-0.494025,72,0.04855594086091167,0.7465947640147635,2186,392,1794
14,27/09/22 06:00,24/09/22 00:00,GOJQ,-0.494025,78,0.04577034929874558,0.8084337209956801,1895,393,1502
15,27/09/22 12:00,24/09/22 00:00,GOJQ,-0.494025,84,-0.013924999597207364,0.657386117069561,2317,392,1925
16,27/09/22 18:00,24/09/22 00:00,GOJQ,-0.494025,90,0.001422519663161703,0.6659938651944082,2321,393,1928
17,28/09/22 00:00,24/09/22 00:00,GOJQ,-0.494025,96,0.01480325746132307,0.6500662026322381,2198,393,1805
18,25/09/22 00:00,25/09/22 00:00,GOJQ,-0.494025,0,0.059712976001524615,0.5576056061868937,2248,392,1856
19,25/09/22 06:00,25/09/22 00:00,GOJQ,-0.494025,6,0.057852586647381125,0.6343841567401619,2038,394,1644
20,25/09/22 12:00,25/09/22 00:00,GOJQ,-0.494025,12,0.06867656249719092,0.6557426684374345,2324,390,1934
21,25/09/22 18:00,25/09/22 00:00,GOJQ,-0.494025,18,0.06102662819424663,0.65023226144476,2332,392,1940
22,26/09/22 00:00,25/09/22 00:00,GOJQ,-0.494025,24,0.045312641406209005,0.6416340291729318,2201,389,1812
23,26/09/22 06:00,25/09/22 00:00,GOJQ,-0.494025,30,0.04048111086423273,0.6342727736131936,2029,388,1641
24,26/09/22 12:00,25/09/22 00:00,GOJQ,-0.494025,36,0.031252995859533096,0.640504469999651,2332,387,1945
25,26/09/22 18:00,25/09/22 00:00,GOJQ,-0.494025,42,0.03832552165025275,0.6470175598974631,2327,390,1937
26,27/09/22 00:00,25/09/22 00:00,GOJQ,-0.494025,48,0.05813827246746509,0.7214502673155445,2186,392,1794
27,27/09/22 06:00,25/09/22 00:00,GOJQ,-0.494025,54,0.05521712722118939,0.7867826968929916,1895,393,1502
28,27/09/22 12:00,25/09/22 00:00,GOJQ,-0.494025,60,-0.002058488422161928,0.6247874359950442,2317,392,1925
29,27/09/22 18:00,25/09/22 00:00,GOJQ,-0.494025,66,0.012048409850695834,0.6371420767210385,2321,393,1928
30,28/09/22 00:00,25/09/22 00:00,GOJQ,-0.494025,72,0.02040207070446435,0.6257933183916654,2198,393,1805
31,28/09/22 06:00,25/09/22 00:00,GOJQ,-0.494025,78,0.01430339854151866,0.6825026042778731,1602,388,1214
