,date_valid,date_xp,expe,level,ech,biais_obs,eqm,Nb_bouees_tot,Nb_bouees_an,diff_Nb
0,,,,,,,,,,
1,02/09/22 00:00,02/09/22 00:00,GKCJ,-0.494025,0,0.08109871803049594,0.5595403743091864,1825,287,1538
2,02/09/22 06:00,02/09/22 00:00,GKCJ,-0.494025,6,0.234782480363259,0.6098946808662289,1681,288,1393
3,02/09/22 12:00,02/09/22 00:00,GKCJ,-0.494025,12,-0.06800698146093033,0.8667555672809686,1872,290,1582
4,02/09/22 18:00,02/09/22 00:00,GKCJ,-0.494025,18,-0.04690115861689827,0.7246556931156023,1915,291,1624
5,03/09/22 00:00,02/09/22 00:00,GKCJ,-0.494025,24,0.20558177460291363,0.6976822751031746,1921,290,1631
6,03/09/22 06:00,02/09/22 00:00,GKCJ,-0.494025,30,0.3761791064988704,0.7903722276598643,1529,285,1244
7,03/09/22 12:00,02/09/22 00:00,GKCJ,-0.494025,36,0.09516169182944301,0.7789464205556008,1911,284,1627
8,03/09/22 18:00,02/09/22 00:00,GKCJ,-0.494025,42,0.007244525911798699,0.7931171404404346,1923,292,1631
9,04/09/22 00:00,02/09/22 00:00,GKCJ,-0.494025,48,0.23049633123552513,0.7163183601209557,1920,295,1625
10,04/09/22 06:00,02/09/22 00:00,GKCJ,-0.494025,54,0.37971608444576194,0.7590880788893457,1709,294,1415
11,04/09/22 12:00,02/09/22 00:00,GKCJ,-0.494025,60,0.05203480519377963,0.7173989914963002,1913,284,1629
12,04/09/22 18:00,02/09/22 00:00,GKCJ,-0.494025,66,-0.0861405631826796,0.8251917855149469,1906,291,1615
13,05/09/22 00:00,02/09/22 00:00,GKCJ,-0.494025,72,0.18157847041835418,0.6397801579912558,1888,289,1599
14,05/09/22 06:00,02/09/22 00:00,GKCJ,-0.494025,78,0.2823513454411172,0.7061395281741584,1546,286,1260
15,05/09/22 12:00,02/09/22 00:00,GKCJ,-0.494025,84,0.004840506952650157,0.8797159628603602,1901,281,1620
16,05/09/22 18:00,02/09/22 00:00,GKCJ,-0.494025,90,-0.1058653068048423,0.8865016449576804,1716,287,1429
17,06/09/22 00:00,02/09/22 00:00,GKCJ,-0.494025,96,0.1801556707698592,0.7315973639038761,1831,279,1552
18,03/09/22 00:00,03/09/22 00:00,GKCJ,-0.494025,0,0.15952310657228075,0.6389345594438935,1921,290,1631
19,03/09/22 06:00,03/09/22 00:00,GKCJ,-0.494025,6,0.33549856828094166,0.74647986612293,1529,285,1244
