,date_valid,date_xp,expe,level,ech,biais_obs,eqm,Nb_bouees_tot,Nb_bouees_an,diff_Nb
0,,,,,,,,,,
1,02/09/22 00:00,02/09/22 00:00,GKCJ,-0.494025,0,0.05259726291916707,0.678450835346631,403,60,343
2,02/09/22 06:00,02/09/22 00:00,GKCJ,-0.494025,6,0.30082016541848294,0.7582156803483303,365,59,306
3,02/09/22 12:00,02/09/22 00:00,GKCJ,-0.494025,12,-0.6380892881643001,1.2177431078624072,423,59,364
4,02/09/22 18:00,02/09/22 00:00,GKCJ,-0.494025,18,-0.3487777142850131,0.706583342155984,432,60,372
5,03/09/22 00:00,02/09/22 00:00,GKCJ,-0.494025,24,0.1435191479395589,0.6782319830513542,443,60,383
6,03/09/22 06:00,02/09/22 00:00,GKCJ,-0.494025,30,0.3671733890308815,0.8425412419203482,327,58,269
7,03/09/22 12:00,02/09/22 00:00,GKCJ,-0.494025,36,-0.3003170767194533,0.9033017274902918,436,58,378
8,03/09/22 18:00,02/09/22 00:00,GKCJ,-0.494025,42,-0.2971190306779607,0.7897362806727153,435,62,373
9,04/09/22 00:00,02/09/22 00:00,GKCJ,-0.494025,48,0.07948249468866872,0.6791755588417945,430,60,370
10,04/09/22 06:00,02/09/22 00:00,GKCJ,-0.494025,54,0.3426584087237681,0.9241054174824961,364,59,305
11,04/09/22 12:00,02/09/22 00:00,GKCJ,-0.494025,60,-0.38135495739426645,0.6661957670867394,436,55,381
12,04/09/22 18:00,02/09/22 00:00,GKCJ,-0.494025,66,-0.5370244767891866,0.8238705990142373,435,61,374
13,05/09/22 00:00,02/09/22 00:00,GKCJ,-0.494025,72,0.03336154889907833,0.6090959687670036,434,62,372
14,05/09/22 06:00,02/09/22 00:00,GKCJ,-0.494025,78,0.21903072450696928,0.8870716487773754,341,59,282
15,05/09/22 12:00,02/09/22 00:00,GKCJ,-0.494025,84,-0.4869939300051845,1.1772634480746405,433,57,376
16,05/09/22 18:00,02/09/22 00:00,GKCJ,-0.494025,90,-0.5900957929212105,0.9558891587365969,328,63,265
17,06/09/22 00:00,02/09/22 00:00,GKCJ,-0.494025,96,-0.02048093164629507,0.758034764490837,433,62,371
18,03/09/22 00:00,03/09/22 00:00,GKCJ,-0.494025,0,0.18832066924082844,0.661375131855943,443,60,383
19,03/09/22 06:00,03/09/22 00:00,GKCJ,-0.494025,6,0.4096106464687519,0.8109568225978544,327,58,269
20,03/09/22 12:00,03/09/22 00:00,GKCJ,-0.494025,12,-0.25660571039486413,0.9004295233099252,436,58,378
