,date_valid,date_xp,expe,level,ech,biais_obs,eqm,Nb_bouees_tot,Nb_bouees_an,diff_Nb
0,,,,,,,,,,
1,02/08/22 00:00,02/08/22 00:00,GN84,-0.494025,0,-0.06399339854371991,1.165603526662247,18508,1895,16613
2,02/08/22 06:00,02/08/22 00:00,GN84,-0.494025,6,0.026340150802197485,1.0826512991435326,18389,1872,16517
3,02/08/22 12:00,02/08/22 00:00,GN84,-0.494025,12,-0.007385198673305127,1.0785223544319422,18340,1933,16407
4,02/08/22 18:00,02/08/22 00:00,GN84,-0.494025,18,-0.13970999114132188,1.147464737154564,18461,1899,16562
5,03/08/22 00:00,02/08/22 00:00,GN84,-0.494025,24,-0.09609440638659404,1.0497824814205454,18523,1918,16605
6,03/08/22 06:00,02/08/22 00:00,GN84,-0.494025,30,0.003443359079841718,1.1553667275719708,18435,1891,16544
7,03/08/22 12:00,02/08/22 00:00,GN84,-0.494025,36,0.0021543156091969767,1.061182712073318,18214,1902,16312
8,03/08/22 18:00,02/08/22 00:00,GN84,-0.494025,42,-0.11571038660396787,1.114915066845934,18454,1883,16571
9,04/08/22 00:00,02/08/22 00:00,GN84,-0.494025,48,-0.08220703622395421,1.0084075772304468,18436,1894,16542
10,04/08/22 06:00,02/08/22 00:00,GN84,-0.494025,54,0.014364758946107904,0.9911522722015405,18311,1894,16417
11,04/08/22 12:00,02/08/22 00:00,GN84,-0.494025,60,-0.008283725448602544,1.027431628706586,18269,1899,16370
12,04/08/22 18:00,02/08/22 00:00,GN84,-0.494025,66,-0.14299270593449015,1.2008430412919873,18581,1891,16690
13,05/08/22 00:00,02/08/22 00:00,GN84,-0.494025,72,-0.09401566744171955,1.1699996319564478,18646,1914,16732
14,05/08/22 06:00,02/08/22 00:00,GN84,-0.494025,78,-0.00797507247797983,1.172478324260544,18541,1884,16657
15,05/08/22 12:00,02/08/22 00:00,GN84,-0.494025,84,-0.005567610749388669,1.1629145344643903,18392,1892,16500
16,05/08/22 18:00,02/08/22 00:00,GN84,-0.494025,90,-0.10399006210150064,1.1058059460470588,18686,1892,16794
17,06/08/22 00:00,02/08/22 00:00,GN84,-0.494025,96,-0.09249443259771814,1.039113823505212,18673,1898,16775
18,03/08/22 00:00,03/08/22 00:00,GN84,-0.494025,0,-0.10183329741535975,1.085969026852288,18523,1918,16605
19,03/08/22 06:00,03/08/22 00:00,GN84,-0.494025,6,-0.007207876999604229,1.1778529408152365,18435,1891,16544
20,03/08/22 12:00,03/08/22 00:00,GN84,-0.494025,12,-0.006300771967731933,1.0909641630784948,18214,1902,16312
21,03/08/22 18:00,03/08/22 00:00,GN84,-0.494025,18,-0.12297785638998765,1.1434501274242619,18454,1883,16571
22,04/08/22 00:00,03/08/22 00:00,GN84,-0.494025,24,-0.09264971932003857,1.0469906371167341,18436,1894,16542
23,04/08/22 06:00,03/08/22 00:00,GN84,-0.494025,30,0.0020555433459285713,1.0150172727981224,18311,1894,16417
24,04/08/22 12:00,03/08/22 00:00,GN84,-0.494025,36,-0.023662944737975585,1.0526345214775956,18269,1899,16370
25,04/08/22 18:00,03/08/22 00:00,GN84,-0.494025,42,-0.15964807216187535,1.228763293115246,18581,1891,16690
26,05/08/22 00:00,03/08/22 00:00,GN84,-0.494025,48,-0.10925012687092157,1.2005755997783683,18646,1914,16732
27,05/08/22 06:00,03/08/22 00:00,GN84,-0.494025,54,-0.02448438709512,1.1920924344637425,18541,1884,16657
28,05/08/22 12:00,03/08/22 00:00,GN84,-0.494025,60,-0.019166441242902274,1.1816327023169793,18392,1892,16500
29,05/08/22 18:00,03/08/22 00:00,GN84,-0.494025,66,-0.11942963199579558,1.1355531025779946,18686,1892,16794
30,06/08/22 00:00,03/08/22 00:00,GN84,-0.494025,72,-0.10531306387845712,1.0559379925290548,18673,1898,16775
31,06/08/22 06:00,03/08/22 00:00,GN84,-0.494025,78,0.000871778891833735,1.0733948800390527,18628,1892,16736
32,06/08/22 12:00,03/08/22 00:00,GN84,-0.494025,84,0.0006274959430200954,1.114159190190979,18430,1890,16540
33,06/08/22 18:00,03/08/22 00:00,GN84,-0.494025,90,-0.10895226915540214,1.101035230412824,18770,1889,16881
34,07/08/22 00:00,03/08/22 00:00,GN84,-0.494025,96,-0.08205194051735838,1.0599924894135575,18637,1897,16740
35,04/08/22 00:00,04/08/22 00:00,GN84,-0.494025,0,-0.07579240109934136,1.057467434247878,18436,1894,16542
36,04/08/22 06:00,04/08/22 00:00,GN84,-0.494025,6,0.013327579727426774,1.0213580521602734,18311,1894,16417
37,04/08/22 12:00,04/08/22 00:00,GN84,-0.494025,12,-0.01161794043966108,1.0618387468640484,18269,1899,16370
38,04/08/22 18:00,04/08/22 00:00,GN84,-0.494025,18,-0.14774311293093323,1.2323139386607158,18581,1891,16690
39,05/08/22 00:00,04/08/22 00:00,GN84,-0.494025,24,-0.09457330305778197,1.2028981497806053,18646,1914,16732
40,05/08/22 06:00,04/08/22 00:00,GN84,-0.494025,30,-0.010386203811556808,1.193010143324415,18541,1884,16657
41,05/08/22 12:00,04/08/22 00:00,GN84,-0.494025,36,-0.0057999937317370475,1.188892511055462,18392,1892,16500
42,05/08/22 18:00,04/08/22 00:00,GN84,-0.494025,42,-0.10903396358429983,1.1423606571532356,18686,1892,16794
43,06/08/22 00:00,04/08/22 00:00,GN84,-0.494025,48,-0.09250441338425307,1.0614821201888467,18673,1898,16775
44,06/08/22 06:00,04/08/22 00:00,GN84,-0.494025,54,0.011189512895982759,1.0798839201111832,18628,1892,16736
45,06/08/22 12:00,04/08/22 00:00,GN84,-0.494025,60,0.009726045377417575,1.1123839291314608,18430,1890,16540
46,06/08/22 18:00,04/08/22 00:00,GN84,-0.494025,66,-0.10014678194183345,1.0973394062598951,18770,1889,16881
47,07/08/22 00:00,04/08/22 00:00,GN84,-0.494025,72,-0.07518363104595578,1.0544354667815554,18637,1897,16740
48,07/08/22 06:00,04/08/22 00:00,GN84,-0.494025,78,-0.0053804499548557065,1.0255070976261755,18542,1887,16655
49,07/08/22 12:00,04/08/22 00:00,GN84,-0.494025,84,0.017959212970558656,1.1039232154281857,18222,1920,16302
50,07/08/22 18:00,04/08/22 00:00,GN84,-0.494025,90,-0.08776095951564544,1.116632293236051,18791,1903,16888
51,08/08/22 00:00,04/08/22 00:00,GN84,-0.494025,96,-0.04228526601866195,1.0812672546659905,18831,1918,16913
52,05/08/22 00:00,05/08/22 00:00,GN84,-0.494025,0,-0.07164356445597966,1.1904795649960196,18646,1914,16732
53,05/08/22 06:00,05/08/22 00:00,GN84,-0.494025,6,0.0063788881834213745,1.1862714708099789,18541,1884,16657
54,05/08/22 12:00,05/08/22 00:00,GN84,-0.494025,12,0.007134392250357183,1.1806729430975924,18392,1892,16500
