,date_valid,date_xp,expe,level,ech,biais_obs,eqm,Nb_bouees_tot,Nb_bouees_an,diff_Nb
0,,,,,,,,,,
1,02/08/22 00:00,02/08/22 00:00,GN84,-0.494025,0,0.20713247748364677,1.2915685642999548,2492,417,2075
2,02/08/22 06:00,02/08/22 00:00,GN84,-0.494025,6,0.22216190575030847,1.1786096278554408,2519,421,2098
3,02/08/22 12:00,02/08/22 00:00,GN84,-0.494025,12,0.16006190779255963,0.8424774618722823,2419,423,1996
4,02/08/22 18:00,02/08/22 00:00,GN84,-0.494025,18,0.127001530971422,0.6622287657896061,2512,418,2094
5,03/08/22 00:00,02/08/22 00:00,GN84,-0.494025,24,0.12622134805828175,0.6552162464431627,2505,420,2085
6,03/08/22 06:00,02/08/22 00:00,GN84,-0.494025,30,0.1609708178629009,0.7376791615406144,2518,422,2096
7,03/08/22 12:00,02/08/22 00:00,GN84,-0.494025,36,0.14339036243487097,0.8498404098527416,2427,417,2010
8,03/08/22 18:00,02/08/22 00:00,GN84,-0.494025,42,0.15128940292200177,0.8346469094513648,2522,418,2104
9,04/08/22 00:00,02/08/22 00:00,GN84,-0.494025,48,0.16456084207647903,0.7439561560845529,2489,423,2066
10,04/08/22 06:00,02/08/22 00:00,GN84,-0.494025,54,0.16601387116594923,0.7600584847089605,2514,422,2092
11,04/08/22 12:00,02/08/22 00:00,GN84,-0.494025,60,0.15104723439089618,0.7617577475498445,2452,423,2029
12,04/08/22 18:00,02/08/22 00:00,GN84,-0.494025,66,0.16100114838313714,0.9349600904185833,2527,422,2105
13,05/08/22 00:00,02/08/22 00:00,GN84,-0.494025,72,0.19214010734767728,1.2026784070836698,2508,422,2086
14,05/08/22 06:00,02/08/22 00:00,GN84,-0.494025,78,0.19530509000584387,1.360023523741438,2522,419,2103
15,05/08/22 12:00,02/08/22 00:00,GN84,-0.494025,84,0.19492847837336477,1.315713506652543,2475,423,2052
16,05/08/22 18:00,02/08/22 00:00,GN84,-0.494025,90,0.19527142444402443,0.9275289571784316,2515,420,2095
17,06/08/22 00:00,02/08/22 00:00,GN84,-0.494025,96,0.17801920837084018,0.7235705013501825,2500,420,2080
18,03/08/22 00:00,03/08/22 00:00,GN84,-0.494025,0,0.1329597634395173,0.6698971698321605,2505,420,2085
19,03/08/22 06:00,03/08/22 00:00,GN84,-0.494025,6,0.1588531766241287,0.7519337657497048,2518,422,2096
20,03/08/22 12:00,03/08/22 00:00,GN84,-0.494025,12,0.13914467541149608,0.858616341983479,2427,417,2010
21,03/08/22 18:00,03/08/22 00:00,GN84,-0.494025,18,0.14400717388105927,0.8406659523604352,2522,418,2104
22,04/08/22 00:00,03/08/22 00:00,GN84,-0.494025,24,0.148233362455986,0.7556431801375032,2489,423,2066
23,04/08/22 06:00,03/08/22 00:00,GN84,-0.494025,30,0.14644885939622268,0.7599321732195061,2514,422,2092
24,04/08/22 12:00,03/08/22 00:00,GN84,-0.494025,36,0.13206697696210767,0.7601369784327533,2452,423,2029
25,04/08/22 18:00,03/08/22 00:00,GN84,-0.494025,42,0.14231887719230643,0.9368728208420964,2527,422,2105
26,05/08/22 00:00,03/08/22 00:00,GN84,-0.494025,48,0.17624526096072204,1.204884285164887,2508,422,2086
27,05/08/22 06:00,03/08/22 00:00,GN84,-0.494025,54,0.17621514758664406,1.3669638191212623,2522,419,2103
28,05/08/22 12:00,03/08/22 00:00,GN84,-0.494025,60,0.17982613273190254,1.3215261150633022,2475,423,2052
29,05/08/22 18:00,03/08/22 00:00,GN84,-0.494025,66,0.17905368034398797,0.931549338766288,2515,420,2095
30,06/08/22 00:00,03/08/22 00:00,GN84,-0.494025,72,0.16162834357841893,0.7261446463955424,2500,420,2080
