,date_valid,date_xp,expe,level,ech,biais_obs,eqm,Nb_bouees_tot,Nb_bouees_an,diff_Nb
0,,,,,,,,,,
1,02/08/22 00:00,02/08/22 00:00,GN84,-0.494025,0,-0.32023178810887587,0.9961486913872959,458,68,390
2,02/08/22 06:00,02/08/22 00:00,GN84,-0.494025,6,-0.2330220576883681,0.9443413591905381,467,67,400
3,02/08/22 12:00,02/08/22 00:00,GN84,-0.494025,12,-0.8005283168917932,0.9998363655052892,419,61,358
4,02/08/22 18:00,02/08/22 00:00,GN84,-0.494025,18,-0.7596731328671718,0.9205049825796814,450,66,384
5,03/08/22 00:00,02/08/22 00:00,GN84,-0.494025,24,-0.3581397911004541,0.8566315674138257,452,67,385
6,03/08/22 06:00,02/08/22 00:00,GN84,-0.494025,30,-0.2379813324497334,0.9455139183084177,456,69,387
7,03/08/22 12:00,02/08/22 00:00,GN84,-0.494025,36,-1.0773180135089218,0.9637024175027198,431,61,370
8,03/08/22 18:00,02/08/22 00:00,GN84,-0.494025,42,-1.0455309801492134,0.9800332760913197,463,68,395
9,04/08/22 00:00,02/08/22 00:00,GN84,-0.494025,48,-0.476330888070518,0.719883600053578,453,66,387
10,04/08/22 06:00,02/08/22 00:00,GN84,-0.494025,54,-0.356961409975488,0.955181463499248,469,69,400
11,04/08/22 12:00,02/08/22 00:00,GN84,-0.494025,60,-1.0948169654852393,0.9353727334190287,435,63,372
12,04/08/22 18:00,02/08/22 00:00,GN84,-0.494025,66,-1.0259846896001388,0.9842445288333518,464,69,395
13,05/08/22 00:00,02/08/22 00:00,GN84,-0.494025,72,-0.4896685061338763,0.7743230521925281,452,67,385
14,05/08/22 06:00,02/08/22 00:00,GN84,-0.494025,78,-0.28685526833272323,0.9298007961033915,454,65,389
15,05/08/22 12:00,02/08/22 00:00,GN84,-0.494025,84,-1.1476405223474326,0.883576551580002,427,63,364
16,05/08/22 18:00,02/08/22 00:00,GN84,-0.494025,90,-0.8999394343579326,0.9101559829052772,449,66,383
17,06/08/22 00:00,02/08/22 00:00,GN84,-0.494025,96,-0.40340260241082576,0.8421726949114061,449,64,385
18,03/08/22 00:00,03/08/22 00:00,GN84,-0.494025,0,-0.31116981689410106,0.8243759089093928,452,67,385
19,03/08/22 06:00,03/08/22 00:00,GN84,-0.494025,6,-0.190665626346163,0.9396042165179541,456,69,387
20,03/08/22 12:00,03/08/22 00:00,GN84,-0.494025,12,-1.0486834534488643,0.9609093924948048,431,61,370
21,03/08/22 18:00,03/08/22 00:00,GN84,-0.494025,18,-1.026706030435677,0.9583447228763824,463,68,395
22,04/08/22 00:00,03/08/22 00:00,GN84,-0.494025,24,-0.44940992835265003,0.7412988800279079,453,66,387
23,04/08/22 06:00,03/08/22 00:00,GN84,-0.494025,30,-0.3181569157171053,0.9636121781581645,469,69,400
